No,time,sub1,sub2,sub3,sub4,Type,srcNo
1,0.0,3,4,0,0,0,1
2,0.0,5,6,0,0,0,2
3,1.0,7,8,0,0,0,3
4,1.0,8,0,0,0,0,4
5,1.0,9,0,0,0,0,5
6,1.0,10,0,0,0,0,6
7,3.0,11,0,0,0,0,7
8,2.0,12,0,0,0,0,8
9,2.0,12,0,0,0,0,9
10,3.0,16,0,0,0,0,10
11,4.0,18,0,0,0,0,11
12,3.0,13,17,0,0,0,12
13,4.0,14,0,0,0,0,13
14,5.0,15,0,0,0,0,14
15,6.0,16,0,0,0,0,15
16,7.0,17,0,0,0,0,16
17,8.0,18,0,0,0,0,17
18,9.0,19,20,21,0,0,18
19,10.0,22,0,0,0,0,19
20,10.0,23,0,0,0,0,20
21,10.0,24,0,0,0,0,21
22,11.0,0,0,0,0,0,22
23,11.0,0,0,0,0,0,23
24,11.0,0,0,0,0,0,24
